股票代码,名称,benchmark,stock_day_return_pct,benchmark_day_return_pct,day_rs_pct,stock_late_return_pct,benchmark_late_return_pct,late_rs_pct,rs_labels
603228,景旺电子,上证指数,-7.451549383355783,0.0001758846558397309,-7.451725268011622,-0.36818029677563313,-0.02770666901784624,-0.3404736277577869,DAY_UNDERPERFORM
300308,中际旭创,创业板指,0.7976539589442666,-1.2194202521394693,2.017074211083736,0.25901899472626777,0.057349509138315824,0.20166948558795195,DAY_OUTPERFORM
300502,新易盛,创业板指,0.25635920155309133,-1.2194202521394693,1.4757794536925606,0.47893437102446423,0.057349509138315824,0.4215848618861484,DAY_OUTPERFORM
688825,长鑫科技,科创50,-3.4188034188034178,-1.926310870619885,-1.4924925481835327,0.14179369018079147,0.011351578415741415,0.13044211176505005,DAY_UNDERPERFORM
002384,东山精密,深证成指,-4.697206929642917,-1.0347198036043337,-3.662487126038583,0.5488649685601699,0.04538411854420055,0.5034808500159693,DAY_UNDERPERFORM|LATE_OUTPERFORM
600183,生益科技,上证指数,-4.986842105263167,0.0001758846558397309,-4.987017989919007,-0.03460926143836751,-0.02770666901784624,-0.00690259242052127,DAY_UNDERPERFORM
603986,兆易创新,上证指数,-3.2019704433497553,0.0001758846558397309,-3.202146328005595,0.08404003361601742,-0.02770666901784624,0.11174670263386366,DAY_UNDERPERFORM
300394,天孚通信,创业板指,-3.5548745451063013,-1.2194202521394693,-2.335454292966832,0.11133643484830813,0.057349509138315824,0.053986925709992306,DAY_UNDERPERFORM
300364,中文在线,创业板指,-1.837725381414701,-1.2194202521394693,-0.6183051292752317,0.8909479686386224,0.057349509138315824,0.8335984595003065,LATE_OUTPERFORM
600378,昊华科技,上证指数,-6.737927085321626,0.0001758846558397309,-6.738102969977466,0.34914766892586435,-0.02770666901784624,0.3768543379437106,DAY_UNDERPERFORM
002354,天娱数科,深证成指,2.5766871165644023,-1.0347198036043337,3.611406920168736,0.6016847172081619,0.04538411854420055,0.5563005986639613,DAY_OUTPERFORM|LATE_OUTPERFORM
