股票代码,名称,bars,open,close,high,low,high_time,low_time,amplitude_pct,first30_return_pct,late_return_pct,high_to_close_pct,low_to_close_pct,close_position,afternoon_amount_ratio,last6_positive,last6_negative,labels
300308,中际旭创,48,833.2,813.0,835.9,804.02,09:35,13:30,3.965075495634429,-1.7690830532885227,-0.42865890998162737,-2.739562148582364,1.1168876396109528,0.2816813048933507,0.4178793707325583,1,5,SPIKE_FADE|TREND_DOWN|LATE_WEAKNESS
688825,长鑫科技,48,55.0,55.55,56.05,54.37,14:20,10:30,3.089939304763667,-0.23636363636364566,-0.5193409742120458,-0.8920606601248937,2.170314511679239,0.7023809523809523,0.5194763822807069,1,5,DIP_RECOVERY|TREND_UP|LATE_WEAKNESS
300502,新易盛,48,392.11,384.76,397.79,380.47,09:40,13:30,4.5522643046757905,-1.0991813521715854,-0.11681939721190915,-3.275597677166353,1.127552763687012,0.2476905311778271,0.32780650272858214,2,4,SPIKE_FADE|TREND_DOWN
603986,兆易创新,48,393.11,383.2,393.89,380.19,09:35,13:30,3.603461427181154,-1.9078629391264479,-0.6996631251619534,-2.7139556729036007,0.7917094084536558,0.21970802919707982,0.44225734779918163,0,6,SPIKE_FADE|TREND_DOWN|LATE_WEAKNESS
600183,生益科技,48,148.88,143.19,149.38,139.01,09:35,13:30,7.459894971584791,-4.58758731864588,0.13986992097347883,-4.143794349979912,3.0069779152579024,0.4030858244937324,0.3639272392671691,2,4,SPIKE_FADE
002384,东山精密,48,185.01,179.16,185.96,178.47,09:35,13:30,4.196783773183177,-2.0052970109723733,-0.4224099599822062,-3.6567003656700403,0.3866195999327582,0.09212283044058703,0.3996440459825167,1,5,CLOSE_NEAR_LOW|SPIKE_FADE|TREND_DOWN|LATE_WEAKNESS
300394,天孚通信,48,253.0,248.81,253.99,243.96,09:40,10:55,4.1113297261846204,-2.9565217391304355,-0.3324787694279685,-2.0394503720618906,1.988030824725362,0.48354935194416687,0.3468174751076431,2,4,SPIKE_FADE
600172,黄河旋风,48,15.1,15.92,16.23,14.76,11:15,09:35,9.959349593495936,-0.9933774834437137,-1.1180124223602594,-1.910043130006167,7.859078590785917,0.7891156462585032,0.3768816076615077,3,3,LATE_WEAKNESS|DIP_RECOVERY|V_REVERSAL|TREND_UP
002536,飞龙股份,48,58.0,63.03,63.88,57.42,14:00,09:35,11.25043538836643,2.879310344827579,-1.3151714419915361,-1.3306199123356288,9.770114942528728,0.8684210526315788,0.42222931735783764,1,2,CLOSE_NEAR_HIGH|LATE_WEAKNESS|DIP_RECOVERY|V_REVERSAL|TREND_UP
601212,白银有色,48,6.67,7.33,7.33,6.67,13:05,09:35,9.895052473763123,3.4482758620689724,0.0,0.0,9.895052473763123,1.0,0.3192988689115895,0,0,CLOSE_NEAR_HIGH|DIP_RECOVERY|V_REVERSAL|TREND_UP
002297,博云新材,48,20.7,22.0,22.0,19.92,10:30,09:35,10.441767068273089,3.3333333333333437,0.0,0.0,10.441767068273089,1.0,0.1063688273364657,0,0,CLOSE_NEAR_HIGH|DIP_RECOVERY|V_REVERSAL
003040,楚天龙,48,20.41,19.2,22.37,19.01,10:00,13:10,17.6749079431878,8.13326800587948,-5.465288035450511,-14.170764416629423,0.9994739610731163,0.05654761904761838,0.18971406203985075,0,6,CLOSE_NEAR_LOW|LATE_WEAKNESS|SPIKE_FADE|TREND_DOWN
600869,远东股份,48,19.64,21.05,21.44,19.35,11:20,09:35,10.801033591731258,3.3604887983706755,-0.14231499051232666,-1.8190298507462677,8.785529715762275,0.8133971291866026,0.21012575177488085,2,4,CLOSE_NEAR_HIGH|DIP_RECOVERY|V_REVERSAL|TREND_UP
603083,剑桥科技,48,185.0,186.31,192.37,184.38,10:15,13:30,4.333441804967997,2.1621621621621623,0.09132910712368325,-3.1501793418932222,1.0467512745417018,0.2415519399249067,0.27603909931465787,3,3,SPIKE_FADE|TREND_DOWN
300476,胜宏科技,48,229.0,222.5,229.99,219.88,09:35,13:30,4.597962525013655,-2.7030567685589535,-0.3448739194697015,-3.256663333188403,1.1915590321993852,0.2591493570722058,0.39014965022997045,2,4,SPIKE_FADE|TREND_DOWN
002463,沪电股份,48,120.4,116.42,120.8,115.5,09:35,13:30,4.588744588744587,-2.9900332225913706,-0.3509372592655935,-3.6258278145695377,0.7965367965367953,0.17358490566037776,0.3798609443979945,2,4,CLOSE_NEAR_LOW|SPIKE_FADE|TREND_DOWN
001309,德明利,48,417.0,405.06,417.7,401.68,09:35,13:30,3.988249352718576,-2.235011990407676,-0.5279831045406524,-3.0260952836964283,0.8414658434574784,0.2109862671660424,0.40849484751154796,2,4,SPIKE_FADE|TREND_DOWN
300684,中石科技,48,91.78,89.56,94.34,85.67,11:25,09:40,10.120228784872175,-0.1852255393331892,-1.549961525777721,-5.066779732881066,4.540679350998023,0.44867358708189153,0.30222812474342947,1,4,LATE_WEAKNESS
300570,太辰光,48,190.33,188.59,192.33,183.8,09:40,10:55,4.640914036996735,-1.9229758839909739,-0.206371044554976,-1.944574429366197,2.6060935799782303,0.5615474794841725,0.4031737546632875,2,4,
603228,景旺电子,48,90.4,88.42,90.56,85.6,09:35,10:15,5.794392523364489,-4.314159292035402,-0.3718309859154889,-2.363074204947002,3.2943925233644977,0.5685483870967748,0.3019312305321511,1,5,LATE_WEAKNESS
