sector_type,sector,breadth_confidence,signal_confidence,state_confidence,top100_members,signal_members,signal_coverage_pct,up_count,down_count,up_ratio,down_ratio,avg_return_pct,median_return_pct,total_amount,amount_share_pct,positive_rs_count,positive_rs_ratio,negative_rs_count,negative_rs_ratio,avg_day_rs_pct,avg_late_rs_pct,leader_count,confirm_count,weak_anchor_count,trend_up_count,trend_up_ratio,trend_down_count,trend_down_ratio,avg_windvane_score,top_members,state
INDUSTRY,医药制造业,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,1,0,0.0,0,1,0.0,1.0,-3.125,-3.125,3949351184.0,0.6968764068123178,0,,0,,,,0,0,0,0,,0,,,哈药股份,INSUFFICIENT
INDUSTRY,保险业,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,1,0,0.0,0,1,0.0,1.0,-1.171,-1.171,3930272360.0,0.6935098836301837,0,,0,,,,0,0,0,0,,0,,,中国平安,INSUFFICIENT
INDUSTRY,食品制造业,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,1,0,0.0,0,1,0.0,1.0,-1.275,-1.275,3052292447.0,0.5385873511636885,0,,0,,,,0,0,0,0,,0,,,莲花控股,INSUFFICIENT
THEME,光模块,MEDIUM,MEDIUM,MEDIUM,4,4,100.0,2,2,0.5,0.5,1.097,0.1215,63630888736.0,19.31082854974388,3,0.75,1,0.25,0.8732917951947,0.15074462711646136,0,1,3,0,0.0,1,0.25,-1.0,XD剑桥科|中际旭创|新易盛|天孚通信,CONFIRMING
THEME,存储,MEDIUM,MEDIUM,MEDIUM,3,3,100.0,2,1,0.6666666666666666,0.3333333333333333,1.0586666666666666,0.135,32707419575.0,9.926112683069,2,0.6666666666666666,1,0.3333333333333333,1.6882404818887995,0.0697174315902919,0,1,0,0,0.0,0,0.0,0.6666666666666666,长鑫科技|德明利|兆易创新,CONFIRMING
THEME,CPO,MEDIUM,HIGH,MEDIUM,5,5,100.0,2,3,0.4,0.6,0.43599999999999994,-0.192,66888600005.0,20.299485238812505,3,0.6,2,0.4,0.45356239952333954,0.1832280604305358,0,1,4,0,0.0,2,0.4,-2.2,XD剑桥科|中际旭创|新易盛|太辰光|天孚通信,NEUTRAL
THEME,PCB,MEDIUM,MEDIUM,MEDIUM,4,4,100.0,2,2,0.5,0.5,-0.3237499999999999,-0.481,32708710366.0,9.926504414886514,0,0.0,4,1.0,-1.1231813363425158,0.03078734089281278,0,0,3,0,0.0,2,0.5,-4.0,沪电股份|东山精密|胜宏科技|景旺电子,NEUTRAL
THEME,AI硬件,MEDIUM,MEDIUM,MEDIUM,3,3,100.0,1,2,0.3333333333333333,0.6666666666666666,-0.6413333333333333,-0.192,52819815270.0,16.02986249241304,2,0.6666666666666666,1,0.3333333333333333,0.21563212326433842,-0.01605062502052503,0,0,3,0,0.0,0,0.0,-2.0,中际旭创|新易盛|东山精密,NEUTRAL
THEME,光纤光缆,MEDIUM,INSUFFICIENT,INSUFFICIENT,3,1,33.33333333333333,1,2,0.3333333333333333,0.6666666666666666,0.6823333333333333,-0.642,20997501238.0,6.372363398260189,0,0.0,1,1.0,-1.3634300676153233,-0.2035138301454964,0,0,1,0,0.0,1,1.0,-7.0,亨通光电,NEUTRAL
THEME,AI服务器,LOW,LOW,LOW,2,2,100.0,1,1,0.5,0.5,-0.03599999999999992,-0.03599999999999992,14957898486.0,4.539452754243857,0,0.0,2,1.0,-0.28182006632738177,0.0372434827606849,0,0,1,0,0.0,1,0.5,-2.5,沪电股份|胜宏科技,NEUTRAL
THEME,半导体,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,1,1,100.0,1,0,1.0,0.0,0.135,0.135,14605531473.0,4.432515712976686,0,0.0,1,1.0,-0.0908369872026471,0.016740021110273,0,0,0,0,0.0,0,0.0,0.0,兆易创新,INSUFFICIENT
THEME,数据中心基础设施,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,1,1,100.0,0,1,0.0,1.0,-1.391,-1.391,9697410995.0,2.9429895577570115,0,0.0,1,1.0,-1.3634300676153233,-0.2035138301454964,0,0,1,0,0.0,1,1.0,-7.0,亨通光电,INSUFFICIENT
THEME,PCB产业链,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,1,1,100.0,0,1,0.0,1.0,-1.262,-1.262,10247536038.0,3.1099425989186567,0,0.0,1,1.0,-1.952626694055548,-0.1531127688732647,0,0,1,0,0.0,1,1.0,-7.0,生益科技,INSUFFICIENT
THEME,覆铜板,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,1,1,100.0,0,1,0.0,1.0,-1.262,-1.262,10247536038.0,3.1099425989186567,0,0.0,1,1.0,-1.952626694055548,-0.1531127688732647,0,0,1,0,0.0,1,1.0,-7.0,生益科技,INSUFFICIENT
