股票代码,名称,最新价,涨跌幅,成交额,labels,day_rs_pct,late_rs_pct,rs_labels,core_pool,a2_score
002384,东山精密,193.6,-3.72,15219490506.0,SPIKE_FADE,-3.3277918087558422,0.7073697160420611,DAY_UNDERPERFORM|LATE_OUTPERFORM,False,4
002463,沪电股份,115.57,-4.653,4843209843.0,SPIKE_FADE,-1.614839941260282,0.5643367533102239,DAY_UNDERPERFORM|LATE_OUTPERFORM,False,4
